TransactionAmt,refund_rate,device_mismatch,country_mismatch,account_age_days,transaction_hour,is_new_device,velocity_24h,isFraud
75.39021349652886,0.016066855336437775,0,0,398,18,0,3,0
456.51821463762815,0.11981158682923007,0,0,738,4,1,1,0
202.5118540318174,0.0037196327093255138,0,0,392,5,0,1,0
141.94138306639297,0.0664903028673087,0,1,755,12,0,5,0
30.443730569351942,0.025880863563888443,0,1,106,22,1,1,0
30.439443787190775,0.11718744297993915,1,0,583,9,0,1,0
13.975815291302101,0.1064004350788945,0,0,589,23,0,4,0
306.68462967199093,0.0927479351370993,1,0,54,13,1,5,0
142.8623230440897,0.2035464151012687,0,1,277,3,0,1,0
189.68750925568855,0.0017018678488591558,1,0,111,19,0,2,0
8.119896199870794,0.004819420078400786,0,0,224,22,0,0,0
530.5336212737468,0.02396827794446458,0,0,75,11,0,2,0
272.96443150320124,0.0009046891446109964,0,0,506,14,0,2,0
40.80314378734205,0.09333120505006828,0,0,14,9,0,2,0
35.101848312449505,0.0054651598762826435,0,1,971,10,0,0,0
35.39171342483856,0.13714024665192465,0,0,770,8,1,5,0
59.413059419071566,0.008260470010587802,1,0,482,10,0,0,0
116.58917462912817,0.09519568554607048,1,0,189,1,0,3,0
89.8305600170505,0.1416345109460345,0,0,364,12,0,0,0
56.633448883091226,0.2869765855107421,0,0,239,21,1,1,0
146.9556310849698,0.15868272027758568,0,0,401,7,1,1,0
27.5351793091008,0.0765380771293223,0,0,846,20,1,1,0
56.82732680036034,0.24175507322973383,0,0,985,20,1,1,0
73.44158273312706,0.2971750091381896,0,0,304,7,0,0,0
96.34020317896625,0.03946306992878289,1,0,91,0,0,1,0
235.6904016546368,0.02028169326388565,0,0,392,5,0,2,0
38.410379319303544,0.09170689388114864,0,1,184,12,0,3,0
113.30437325496915,2.227258971980005e-05,0,0,17,8,0,5,0
139.62570819646407,0.1087377128344104,0,0,965,5,0,4,0
12.134577463461282,0.2445531219682295,0,0,12,14,0,4,0
145.29995309744152,0.06843366075435445,0,0,166,22,1,4,0
33.04418779661246,0.028171792087899272,0,0,146,15,0,1,0
15.089589631895636,0.016425844988902618,0,0,282,3,0,0,0
451.0531690260396,0.009577597474752432,0,0,991,16,0,1,0
510.59455136917586,0.025277476507269962,0,0,549,8,0,1,0
